step,q_meas,fo_meas,k_meas
1,131.57397638736865,1.01593,2.8630834068663105
10,,,2.763086621099094
100,8.187286725404874,1.0281,2.8189410892475526
1000,,,2.8955428748674166
101,59.2522709337196,0.984483,2.7266632201406096
102,16.48978525867873,0.977007,2.9169601764914006
103,25.820223666341175,1.0113,2.7521335205727766
104,7.211240834873831,0.999246,2.749451100004162
105,11.117829255985198,1.02908,2.676439926756138
106,15.509400109691898,0.91053,2.7118895650891957
107,,,2.8254914665827204
108,,,2.8804112601290948
109,10.462729563686933,1.01383,2.7742909169713794
11,4.897449878147098,1.03911,2.689360364485471
110,,,2.697991021047026
111,15.295898744247209,0.950994,2.7354639771339753
112,,,2.8050880626300034
113,14.268719483171102,0.958991,2.6088553501516634
114,51.25603411007893,0.927623,2.7859928659626676
115,16.25006116514044,0.927002,2.753692869484838
116,8.353240779766567,1.01237,2.7032144482016434
117,7.117377482478048,1.01645,2.732542969514003
118,24.958874655281544,0.978885,2.789086605511976
119,7.461480356904402,0.971294,2.5908394421559335
12,44.51895894413902,0.968326,2.753889435476919
120,,,2.8189540709809044
121,39.02339051369106,1.05184,2.8343599323020365
122,,,2.9077093970599464
123,13.19334745489164,1.0509,2.711408792261284
124,8.999740767296892,0.967237,2.6882861835983514
125,25.45276688869813,1.02688,2.8316169282080517
126,134.79382583208363,0.937094,2.812791234473464
127,55.41151189716867,0.928973,2.8251759463761976
128,,,2.7283274969797366
129,,,2.8493086727642862
13,8.506971934132938,0.977015,2.708419924338417
130,6.402284955595148,1.07465,2.6627874413643906
131,10.989172735951456,1.03928,2.7633443039175813
132,12.358762886388433,0.949127,2.633316133916112
133,27.6732393893396,0.985299,2.769535906094575
134,11.03722764366255,0.957967,2.836795308369295
135,45.875414365162435,1.03464,2.8430631085712736
136,11.668230505304447,1.05686,2.7287201631226186
137,9.720419321110851,0.914225,2.7100356252098505
138,13.946492576601974,0.975829,2.695255866504099
139,28.21954453902312,0.968304,2.81889565365161
14,48.05681674366599,0.974318,2.6996191488273045
140,,,2.7351301696582855
141,34.60270099575684,0.974157,2.795899136761776
142,9.784305400375374,1.0401,2.6361826657752614
143,165.65135778908805,1.00177,2.641995052481906
144,,,2.6741730024430517
145,,,2.8501256064261993
146,,,2.711936398167232
147,8.510890441685806,1.07044,2.7130918701525824
148,102.66915791859694,0.973553,2.7204484447490613
149,,,2.7310553372489617
15,12.258293064138485,0.981507,2.762285094876289
150,,,2.7494954162771257
151,,,2.823481847817979
152,12.28754156702981,1.06132,2.857991942132668
153,,,2.774268558918291
154,25.19503697259086,1.05685,2.7229489547718
155,,,2.6808931189210097
156,7.3771735419563695,1.03752,2.7919716236576235
157,15.29096872373478,0.947793,2.818908635175723
158,70.66754432827008,1.03935,2.6660543581927216
159,8.546533514197451,0.949085,2.6095492637914552
16,6.534013087144709,0.993847,2.701276248604329
160,,,2.8678273352998547
161,,,2.8158434107830175
162,,,2.7319610295641916
163,9.052113693388293,1.03296,2.8833774655960176
164,,,2.7399333590982393
165,28.07921744260535,0.94029,2.664679617741376
166,9.043988469993188,1.0941,2.641009722482006
167,,,2.7626985515874773
168,16.608675502208698,1.05257,2.651526671433595
169,30.333672949857156,0.953491,2.7337859048713145
17,6.593636480487451,1.01618,2.743206492644599
170,,,2.7973222516661513
171,26.248833010821155,0.950812,2.796111592090652
172,13.023868423151907,1.0019,2.7484035447500546
173,,,2.7217798840661493
174,8.018626778372012,0.994847,2.7789613076425455
175,6.41150521720279,1.0214,2.776620335277373
176,8.418893196087357,1.02324,2.8046618040590143
177,,,2.795339104634217
178,,,2.789504073852688
179,6.6227749890464205,0.971949,2.7291380219531156
18,22.256404201545507,1.05184,2.6919438692115882
180,,,2.862358324447214
181,9.185652252271266,0.994313,2.8978673383767455
182,105.35496326283383,0.965607,2.8097876545696647
183,11.94359312149475,1.07628,2.645056784656288
184,68.65781846077094,0.968049,2.6751183474196414
185,77.03090496213179,1.07754,2.8360083160624128
186,,,2.6756173286484675
187,31.249278890470382,0.997421,2.7957510713820444
188,7.056348148159907,0.986824,2.759491114595541
189,10.34808530049007,0.979647,2.6898217438982774
19,,,2.8588607357498064
190,16.280772210934426,0.964567,2.788450889157532
191,5.598542765556325,0.988435,2.8129402023148797
192,24.352581193865394,0.975357,2.6752477039872926
193,37.49298343682116,0.945351,2.7019947447193564
194,18.63802972346199,1.00098,2.6583643242744506
195,11.333785785776733,0.953561,2.642755589229643
196,,,2.803309185100678
197,7.323016286238946,1.03657,2.664615194178731
198,21.785122180894398,1.01139,2.933023211941092
199,10.794561376109694,0.985541,2.774080119630233
2,6.347460398326997,0.987081,2.7611913232868566
20,8.67990556106389,1.06948,2.7170116463129093
200,22.063022099450542,1.04471,2.7486218843618926
201,14.063713158132884,0.995813,2.695224836402823
202,159.72945138027566,0.938802,2.7177875197353143
203,23.334849273643965,0.929559,2.6098376977738558
204,11.424310546521774,1.10854,2.7248776076418704
205,6.831168532606049,0.983151,2.7461515457215313
206,11.694320711609105,0.908059,2.662198902126391
207,19.54609476401181,1.09379,2.684806558170594
208,18.237487196154845,1.05116,2.720128996240349
209,19.64151576971964,0.990913,2.8333485277843713
21,43.90409202572388,0.95146,2.782662273334325
210,6.25791990040654,0.999667,2.758665223007663
211,14.886410818700908,0.95792,2.7734637889982685
212,13.860375622060262,0.924924,2.73719034863765
213,23.605054093469757,1.00877,2.7409145733202704
214,,,2.8449556462709067
215,75.86037758228946,0.997931,2.7565317557755704
216,,,2.7709711235630605
217,,,2.68102275473037
218,24.216980942113725,1.05797,2.7200475741887726
219,30.192564308719575,0.980242,2.7088190812586377
22,,,2.8036513134472694
220,10.30943820970402,0.947283,2.6188552822064604
221,26.553391579442735,0.986775,2.659539837232737
222,25.53906538545689,0.960323,2.771567754886653
223,,,2.799680677845069
224,13.7369399574066,1.10262,2.7325240938410746
225,6.879311895205922,0.947253,2.66127037825445
226,6.579759200103656,0.990442,2.78233551937022
227,59.624534301975366,0.995871,2.7586874553122147
228,,,2.7761984026357345
229,,,2.8216945542609695
23,14.847727898246593,0.911569,2.664354448050181
230,,,2.6956065314765407
231,19.64445569671268,0.943914,2.727809264190466
232,11.829325985888788,1.04485,2.7300996544290648
233,16.6571232806881,0.980117,2.859166850947681
234,10.282411967486919,1.03575,2.7209840749473693
235,51.42330671518061,0.933262,2.629474721063165
236,41.16328253897194,1.0791,2.7979052294684377
237,18.560300355899813,0.992501,2.770113093065052
238,12.424673928844529,1.03718,2.8221039070357046
239,81.92189693228674,0.978927,2.7243945322504515
24,,,2.7254203854049837
240,10.890178542667414,0.967763,2.773482947473569
241,,,2.891698435340846
242,9.032230247680232,1.08164,2.761439291661788
243,,,2.817867057943974
244,20.296913459007342,0.940719,2.731143377490302
245,15.500831666219847,1.02107,2.872522902598442
246,12.788364316186332,1.00639,2.68255416612938
247,38.21597991278536,1.01209,2.767945278565163
248,6.788518408175869,1.01805,2.6807387987494553
249,16.60255776702624,0.997057,2.7370138811429343
25,16.30647165952711,0.983655,2.6276438455071096
250,,,2.7336128040483585
251,9.442674080216106,1.06694,2.651773950277759
252,203.13277431651164,1.09533,2.796993776254898
253,15.803380616672317,0.9717,2.8417770329759064
254,7.234691220678096,1.08145,2.7394223834442153
255,82.2488813664989,0.966069,2.6321764549281292
256,9.583187821577525,1.00672,2.730385695460606
257,,,2.809557986938051
258,10.50908730536195,1.02576,2.7265407945944644
259,,,2.779886087342307
26,7.038903317267322,0.965331,2.6849178363966786
260,24.95427748409212,1.08394,2.738520523230445
261,1.319510954325264,2.10756,2.8104508847874246
262,14.810509532394923,0.966123,2.797103263772736
263,15.61654654692969,0.931419,2.7327600491246136
264,8.480373885576121,0.957891,2.80099929813804
265,134.57518948967973,0.943411,2.6478141578035332
266,11.42036541078747,1.00216,2.794502484056034
267,,,2.9274500931329155
268,8.814750009255185,1.03376,2.668729153891998
269,14.388814045437071,1.01317,2.75699196248473
27,15.364024817170312,1.02875,2.6643973927161144
270,37.72810568723588,1.07634,2.6905836576314024
271,,,2.7390250238179314
272,43.54366699432558,0.920214,2.7371052646752085
273,,,2.742145531514575
274,8.749636282134135,0.986764,2.6587071285390134
275,24.394672946169695,1.01249,2.794077834059712
276,10.003915160882341,0.954228,2.7370422412229916
277,27.596880944819297,0.944521,2.675792918252224
278,6.837778053746715,1.0282,2.800486606696234
279,45.018394229474225,0.979292,2.8744317414427303
28,,,2.659803174390868
280,10.423054293395067,0.974933,2.692362295740761
281,6.458549611951391,1.02173,2.735939565684665
282,8.018903736712177,1.05058,2.7947244858755322
283,56.01057098604322,1.06209,2.7350986804897714
284,,,2.8640361806261008
285,,,2.7552055207938104
286,,,2.8143460699306972
287,,,2.7932383751324217
288,7.324534011626927,0.980402,2.6997838805775305
289,10.975390974784538,1.02947,2.6915657915448783
29,33.324987869494606,1.04729,2.8735052834631225
290,43.24889342541059,1.00996,2.7285222523234096
291,47.048956972146854,0.994477,2.7894815931965344
292,23.78619637350671,1.07901,2.7857779722318416
293,8.060834414948017,1.05171,2.7289683572689754
294,,,2.882743489605131
295,,,2.6942599785532604
296,5.959776865141561,1.04245,2.708497880052076
297,,,2.782098486588691
298,,,2.7484699941001614
299,7.898324998139438,1.00914,2.694160720175866
3,10.293664280895149,1.04614,2.714754114375006
30,11.066747470596969,0.972943,2.726098225017764
300,11.362528878106476,1.02112,2.853714355832347
301,15.348290126167406,0.980465,2.7430233212353676
302,,,2.71204255613844
303,,,2.670554835945602
304,,,2.83610300482496
305,,,2.85805446012804
306,,,2.8764842472367045
307,9.158935487436919,1.02744,2.7816885316118745
308,6.005718885933872,0.956601,2.6647072283164657
309,8.401271116413348,0.99735,2.8018733470482826
31,24.01264498018125,0.967189,2.748242174445296
310,,,2.7792556677959497
311,14.133346289664628,0.965551,2.619585030453495
312,52.57327114987236,0.964375,2.759929572879613
313,14.948926273423353,1.03268,2.738230477470834
314,,,2.8603191912208636
315,17.851922796644182,0.97486,2.6665700686946137
316,11.665678410550155,1.04286,2.873273715629267
317,78.27084095906116,0.996753,2.7212378313226266
318,,,2.8044099544413585
319,,,2.7561128757757745
32,7.878163686360779,1.08207,2.68467673940254
320,7.624300412007568,0.987688,2.7548819909373594
321,,,2.8714251504913624
322,,,2.817361009851698
323,20.92112334702368,0.946654,2.727178095421303
324,10.456467693744848,1.00443,2.6514198296849383
325,7.550487623137978,0.973622,2.616814876061896
326,11.301731880788733,1.01139,2.725856568413598
327,,,2.752875051982836
328,17.157341675538614,1.05474,2.766683627139677
329,,,2.7884380478962
33,24.23734250293636,1.01537,2.6672240593570113
330,9.605279351051495,1.01218,2.7231370559186763
331,25.044940254298385,1.05818,2.7251913388293225
332,12.335450077386291,0.990719,2.6518808062960773
333,10.394772768020287,1.02319,2.6816123680843336
334,7.0582168974054,0.988667,2.833883548430768
335,,,2.860849423691425
336,14.6121795482964,0.945732,2.7230335986799425
337,21.48869293377836,0.957775,2.694498834010551
338,6.647984527476929,1.01935,2.721679611836644
339,40.232776068551935,0.916752,2.64717102168626
34,25.924476779178896,0.989782,2.706851932007682
340,107.83754691825268,0.936432,2.7120675350885177
341,56.0254043970473,0.953779,2.7463096314618682
342,5.908469527111832,1.01624,2.707397353179942
343,16.90771816670204,0.939575,2.7637801925173644
344,,,2.747280477406349
345,15.144850827079898,0.996458,2.7617254366888493
346,,,2.7773524766120854
347,19.9195718733803,0.925567,2.8246230578019316
348,,,2.7985269915787256
349,18.23706726732795,1.05568,2.614140948254287
35,37.222025301785,0.951927,2.812224581081923
350,81.85024806990924,0.978215,2.74409409973913
351,10.390345763959102,1.00284,2.660421813060828
352,9.625759353467073,0.944696,2.668636980844275
353,63.997056592643816,1.05767,2.6775186219415317
354,12.077999297161671,1.0396,2.7254172476506144
355,11.335090711202715,0.958227,2.7301939503589887
356,766.8051128953178,1.03845,2.802857381456881
357,17.962839936690084,0.918472,2.6766032441017344
358,,,2.8257484626836997
359,,,2.687450662427107
36,15.927587514435265,0.980815,2.8962063406359615
360,12.685424358080152,0.955914,2.7255490364445247
361,15.498154998554297,0.916747,2.8122504827467987
362,11.446033166397735,0.966088,2.7862270227782555
363,,,2.8591503923076287
364,13.39152387721545,0.951312,2.6149265825831525
365,7.770071228302387,1.02035,2.7994131607526267
366,,,2.866846895586164
367,,,2.749634700642444
368,13.867877604725049,1.01272,2.8264122063065296
369,22.859409100486666,0.963051,2.6904969248598753
37,,,2.823299817084052
370,,,2.884439936813593
371,13.740894335606228,1.03901,2.8332800263385844
372,30.269134281013063,0.974,2.746363382686629
373,6.479030136152338,1.0251,2.659417363717147
374,14.314955424326216,0.958379,2.7981468304567776
375,,,2.868362261916918
376,,,2.76663903382772
377,16.906355620513658,0.978167,2.748979492494504
378,30.069416454654554,1.03521,2.8171372098765906
379,18.851243360709088,0.959996,2.7174871553569835
38,,,2.8558046736304132
380,10.28620084594389,1.00684,2.8514844001689252
381,244.0029067393713,1.06637,2.84498840022176
382,,,2.760895697787415
383,,,2.7570871872581093
384,40.25316189742116,1.02472,2.8032640014592314
385,,,2.679769871112711
386,,,2.7503090633529292
387,5.769059259059756,1.03269,2.7373227067252275
388,29.528065802347385,0.986393,2.789243951626546
389,,,2.808940241835311
39,21.404495694661293,0.965895,2.7399775219621083
390,8.725393058096932,0.988226,2.7282960861294354
391,19.540019824487093,0.952953,2.7171524133458904
392,7.33432245684362,1.00189,2.69107622889078
393,9.85484958476431,1.0063,2.6925761833045807
394,15.847837156991819,0.956897,2.7332760756683276
395,29.140701347708045,0.980008,2.740892484247647
396,,,2.767011728603502
397,4.538475548689133,1.00814,2.676107159988016
398,21.531535390624295,1.09212,2.819541556976866
399,,,2.8172637033301884
4,15.708510258990305,1.13491,2.6863061107122874
40,94.50504647073132,0.972709,2.753398046803416
400,6.920062230771709,0.999216,2.6951938066587924
401,13.531159083561397,1.03773,2.711455617036596
402,44.547670632240894,0.981814,2.7403119210302767
403,59.26182204113173,0.934471,2.7327160025917245
404,9.495547268065037,1.02354,2.8216425772051568
405,,,2.70730072770605
406,,,2.8040096246791766
407,8.335084365516517,0.99932,2.808833524767745
408,14.1001911424742,0.952567,2.736563310407385
409,,,2.8594104498981854
41,31.973486806832284,1.06462,2.8254817076977763
410,9.225183212029052,0.959508,2.752871882620131
411,32.35154306837286,0.901504,2.66207937098953
412,58.532220502284645,0.976435,2.83060650249576
413,223.39322611527228,1.03488,2.805905239312248
414,39.31470307519871,1.00381,2.7044876339102344
415,,,2.801583042257639
416,18.70143792242773,1.05142,2.7424959822067674
417,15.29677927230141,0.971225,2.749194712731777
418,429.7392286809092,0.957414,2.7435886654793484
419,12.352788339309752,0.960514,2.7282426885138595
42,228.91012367000724,1.02959,2.7113526035982978
420,,,2.7200162586640566
421,29.085732123769315,0.968491,2.7614424708880922
422,,,2.676661794256044
423,74.18310377770139,0.983173,2.751094445229577
424,24.24487782742772,1.05475,2.7989813196343625
425,115.37321635845336,0.969541,2.625514976869238
426,22.12763504863935,1.06751,2.715341767490774
427,16.856794795249883,0.980348,2.783761345136917
428,5.913028877891468,1.02614,2.7539147998527738
429,,,2.8274439212184235
43,,,2.7581189998096005
430,7.125248247522671,1.0794,2.688261423681607
431,,,2.695634462506618
432,134.98173310878812,0.993015,2.7946022218221596
433,,,2.720695886530955
434,,,2.8597758872390977
435,8.565347752814242,1.00937,2.802008832911746
436,7.373861904365325,1.01459,2.8136495269756416
437,55.866311682316926,1.1147,2.735278173606519
438,37.444238258088475,1.04769,2.8504012513374475
439,41.051591628911844,1.01862,2.7729497526618316
44,,,2.6952496604552643
440,9.278440775914675,0.997227,2.8339879544822093
441,175.18826033862968,1.03271,2.790997837551605
442,23.31175660297448,1.04753,2.7173432425232606
443,10.576573699825113,0.991319,2.7710668311678965
444,21.79540783827703,0.993968,2.794907891985154
445,9.289556917207316,1.0757,2.7946504833095083
446,,,2.831698429867549
447,12.559287437181363,0.953402,2.793248022652648
448,98.00765543225846,0.988361,2.7701832565858684
449,10.527130337168227,1.04854,2.784104293094675
45,56.679368126981196,1.02199,2.797705521735043
450,,,2.834578573624651
451,,,2.785104532107133
452,12.075635625681334,1.0443,2.7183288851993788
453,,,2.7217798840661493
454,40.91805671811022,1.03234,2.690456657023489
455,15.340693746668196,0.985713,2.659852170227252
456,27.16877142406226,1.07179,2.7947277034228546
457,7.957011761401488,1.03506,2.8573438098254287
458,62.55470782955531,0.971371,2.7599263953950963
459,18.788625066019208,0.998821,2.8020669002873393
46,10.042688681917333,1.05659,2.752415532482729
460,7.359782838289402,0.948214,2.679958074865115
461,13.422858129067658,0.923933,2.736219918195423
462,53.68525248947614,1.00606,2.8675334983211362
463,,,2.8983010889339953
464,,,2.8021894909209446
465,23.299950586792193,0.938918,2.658336779421864
466,12.960596798002715,1.07041,2.71324805277024
467,8.443062419090124,0.992544,2.6631001557534275
468,,,2.823306317979608
469,12.340421678084335,1.00146,2.7469104402753337
47,53.612986477679584,1.04461,2.7889035814040324
470,,,2.893070387328245
471,7.142907070942054,0.989868,2.715051050849954
472,29.485262598620203,0.942488,2.8156683558099695
473,27.905512308416533,0.984052,2.7168396076206625
474,12.454606194009902,1.00375,2.797093602937001
475,12.378983954208556,0.955289,2.7655116989121917
476,16.11591618272993,0.983388,2.7133292712845742
477,12.600419380299142,1.0322,2.8316169282080517
478,19.968709545290434,1.02221,2.71783758369265
479,10.010251754999132,1.01887,2.659717433848895
48,16.167020909213733,1.07098,2.7738757253835202
480,16.045933943331953,1.06569,2.7488275824711637
481,34.723620411959836,0.934327,2.7158951529076063
482,32.26896232543359,1.11279,2.780766353769957
483,29.170575680780004,1.02306,2.7595292386375205
484,33.65231922740589,0.929475,2.781602064449419
485,10.824304476091305,0.964536,2.6974319671245928
486,7.835378850481621,1.03344,2.7729401752492246
487,14.38169254257687,1.0021,2.677712833240309
488,14.344156008143973,0.998679,2.8860775727808914
489,18.49502829217738,1.09158,2.700974599404565
49,422.19200026927496,0.941205,2.7483655744141546
490,,,2.9234387553097028
491,11.77985650028549,0.928333,2.618140808434918
492,74.03123595334195,1.01138,2.823615127761429
493,9.705658358980829,1.00815,2.6940335507238746
494,12.34027960454719,1.00516,2.810162926587621
495,7.592678312022575,0.952486,2.687521826333388
496,,,2.8287397937041194
497,11.473211511894915,0.962612,2.7393246150151813
498,52.5835617834669,1.08559,2.84646927260056
499,,,2.797418869422426
5,18.479490794886086,1.01052,2.7586144069843446
