step,q_meas,fo_meas,k_meas
1,6.266571511196949,1.01597,2.505589959158627
10,13.294744640076935,1.017,2.4002556463633518
100,3.568247744946229,1.02814,2.4953358151469494
1000,14.704321848748862,0.966969,2.5023208811925546
101,5.728355997005367,0.984517,2.399026249901897
102,4.654681827802332,0.977044,2.5688574189993143
103,5.107401503571952,1.01133,2.42367565203129
104,3.372950750755724,0.99928,2.4424433528854426
105,4.025965046346093,1.02912,2.3701509161305965
106,4.5186634886232495,0.910561,2.4062735650843576
107,9.075906225532288,0.94726,2.4615179097383737
108,9.808102594596447,1.08561,2.5025830571336205
109,3.9605454364650168,1.01387,2.4540392241793776
11,2.7075469736209388,1.03915,2.3980266210863572
110,6.577714206476519,1.01378,2.3682306635206394
111,4.463494459253903,0.951027,2.4222306766122843
112,6.45074686507397,1.04374,2.455613430477685
113,4.347854479100671,0.959022,2.316517044453808
114,5.6382587167577665,0.927657,2.453397961003632
115,4.630895703780395,0.927035,2.437580685291047
116,3.552630172943352,1.01241,2.4005624029680033
117,3.291773919303848,1.01649,2.4287901895375072
118,5.0257976623967275,0.97892,2.4579242818598024
119,3.4135007294931117,0.971325,2.311330232710124
12,5.616554792295644,0.968362,2.423480334721822
120,7.676530857467607,0.999847,2.461577422929474
121,5.576927516636334,1.05188,2.4851522474975316
122,9.148396940915465,1.07406,2.5263615327654545
123,4.2995202624539175,1.05094,2.3945753085395842
124,3.717577234759291,0.96727,2.389989538766217
125,5.1307989832008225,1.02692,2.4882270094758785
126,6.127382614564951,0.937131,2.4700457653356978
127,5.788019691917971,0.929007,2.4842225518312055
128,6.970918415843784,0.931231,2.394012975810168
129,8.409787071920936,1.06641,2.4818326861804327
13,3.5905419073338303,0.977049,2.4083605241600603
130,3.1697134303803205,1.07468,2.3646398269055067
131,4.016150693634199,1.03931,2.442030028738289
132,4.238478651197503,0.949159,2.338522215628826
133,5.1598847329649455,0.985336,2.439613343095397
134,4.074271818918198,0.958001,2.511290767426079
135,5.626521723733029,1.03468,2.493007011819174
136,4.062000756957842,1.0569,2.411540167018178
137,3.8327897815834873,0.914255,2.4142514449148207
138,4.324939134956334,0.975862,2.3875941163119436
139,5.267626817561933,0.96834,2.4807614241451024
14,5.577569621106356,0.974353,2.378573083526237
140,11.030748936125775,0.980434,2.3817792095379766
141,5.454437880186074,0.974191,2.459328258478987
142,3.844279892026423,1.04014,2.337448225369398
143,6.206403397544623,1.00181,2.324962754717137
144,9.274489203724197,0.986311,2.337741572227638
145,6.874640622595039,1.05509,2.48961676589055
146,7.417797956742005,1.0138,2.3752372744630774
147,3.605246799644776,1.07047,2.402301431061536
148,6.021642940457695,0.973587,2.3921725357991863
149,7.700696370456452,0.952512,2.390994075472434
15,4.16030336419609,0.981542,2.4452513086267684
150,6.786877336730495,1.07444,2.4074096663765063
151,20.690453034261708,0.972585,2.4382627282314533
152,4.1899611872786595,1.06136,2.5172363817394032
153,7.200953392509579,0.990363,2.4279263025652074
154,5.04998397518622,1.05689,2.397286832734801
155,8.69170544494948,1.00967,2.3449468308394055
156,3.375708987589882,1.03756,2.4747708962675223
157,4.509672460254833,0.947826,2.491951009152367
158,5.878682430396416,1.03938,2.345260019249846
159,3.606077033979111,0.949114,2.327686565411935
16,3.1967597615336114,0.993879,2.4052709164498007
160,13.873147380485774,0.977844,2.4821298647805503
161,14.844309476129753,1.05145,2.440869158976777
162,7.733035430632988,0.977009,2.390911494888824
163,3.720274624814519,1.033,2.5472085275970535
164,10.161200010697689,1.03428,2.3881164491077893
165,5.237511625959222,0.940322,2.3549570997768825
166,3.7064231519669444,1.09413,2.339149611079668
167,8.922673469212326,1.01475,2.4106574371626888
168,4.53800531287516,1.05261,2.342882454407727
169,5.355499708401137,0.953525,2.410171795997475
17,3.1774959084453283,1.01622,2.4393633808312285
170,6.511709236207166,1.08066,2.4476876692313914
171,5.130031124082738,0.950846,2.465043002978447
172,4.259464470383002,1.00194,2.4301523441644517
173,8.76970531131468,1.05711,2.3775162830476546
174,3.521721429431889,0.99488,2.4663772171715213
175,3.161054619289473,1.02143,2.4664283290918485
176,3.570795674356153,1.02327,2.4846258539987884
177,6.486792411751459,1.09573,2.445758097065581
178,10.618789213584511,0.983495,2.426470412197064
179,3.219215128616045,0.971981,2.43147327231927
18,5.022500631199884,1.05188,2.3718269530201606
180,8.258667852730031,1.06492,2.4930873781654697
181,3.7712037757630728,0.994349,2.5628488889031664
182,6.032467627516167,0.965644,2.466402772999284
